pair_idx,pair_file,output,pair_confidence,pair_cscore,pair_dist,same_gender,same_ethnicity,genders,ethnicities
0,"['__0_af.jpg', '__1_af.jpg']",TP,0.8535320673762584,0.6117661777679742,0.7764679326237417,True,True,"['f', 'f']","['a', 'a']"
1,"['__2_af.jpg', '__3_af.jpg']",TP,0.7070449939901087,0.5385224805122358,0.9229550060098914,True,True,"['f', 'f']","['a', 'a']"
3,"['__6_af.jpg', '__7_af.jpg']",TP,0.4533181757421303,0.411659059583799,1.1766818242578698,True,True,"['f', 'f']","['a', 'a']"
5,"['__10_af.jpg', '__11_af.jpg']",TP,0.834165590908637,0.6020828174710283,0.7958344090913632,True,True,"['f', 'f']","['a', 'a']"
6,"['__12_af.jpg', '__13_af.jpg']",TP,1.0802034699918446,0.725101796678685,0.5497965300081556,True,True,"['f', 'f']","['a', 'a']"
7,"['__14_af.jpg', '__15_af.jpg']",TP,0.9543563701038225,0.6621782935034277,0.6756436298961777,True,True,"['f', 'f']","['a', 'a']"
8,"['__16_af.jpg', '__17_af.jpg']",TP,0.7286173252719639,0.5493086081878957,0.9013826747280362,True,True,"['f', 'f']","['a', 'a']"
9,"['__18_af.jpg', '__19_af.jpg']",TP,0.36015357935433534,0.36507678496904267,1.2698464206456648,True,True,"['f', 'f']","['a', 'a']"
10,"['__20_af.jpg', '__21_af.jpg']",TP,1.159775315587345,0.7648877394766239,0.4702246844126553,True,True,"['f', 'f']","['a', 'a']"
11,"['__22_af.jpg', '__23_af.jpg']",TP,1.0004987997994808,0.685249486596437,0.6295012002005193,True,True,"['f', 'f']","['a', 'a']"
12,"['__24_af.jpg', '__25_af.jpg']",TP,0.9604783181343068,0.6652390667462511,0.6695216818656933,True,True,"['f', 'f']","['a', 'a']"
13,"['__26_af.jpg', '__27_af.jpg']",TP,0.8103984070433391,0.5901991637568081,0.819601592956661,True,True,"['f', 'f']","['a', 'a']"
14,"['__28_af.jpg', '__29_af.jpg']",TP,0.5957443212619562,0.4828722078575746,1.034255678738044,True,True,"['f', 'f']","['a', 'a']"
15,"['__30_af.jpg', '__31_af.jpg']",TP,0.916917897534318,0.643458972048808,0.7130821024656822,True,True,"['f', 'f']","['a', 'a']"
16,"['__32_af.jpg', '__33_af.jpg']",TP,0.796200408095207,0.5831002274894037,0.8337995919047931,True,True,"['f', 'f']","['a', 'a']"
17,"['__34_af.jpg', '__35_af.jpg']",TP,0.916781816571399,0.6433909502110386,0.7132181834286011,True,True,"['f', 'f']","['a', 'a']"
18,"['__36_af.jpg', '__37_af.jpg']",TP,1.1567755815986245,0.7633877794976884,0.4732244184013755,True,True,"['f', 'f']","['a', 'a']"
19,"['__38_af.jpg', '__39_af.jpg']",TP,0.9379681150418346,0.6539839338378766,0.6920318849581655,True,True,"['f', 'f']","['a', 'a']"
20,"['__40_af.jpg', '__41_af.jpg']",TP,1.4974741313877542,0.9337371141179487,0.1325258686122459,True,True,"['f', 'f']","['a', 'a']"
21,"['__42_af.jpg', '__43_af.jpg']",TP,0.6551725477943731,0.5125862575579001,0.974827452205627,True,True,"['f', 'f']","['a', 'a']"
22,"['__44_af.jpg', '__45_af.jpg']",TP,1.4018514078006166,0.8859257240018398,0.22814859219938358,True,True,"['f', 'f']","['a', 'a']"
23,"['__46_af.jpg', '__47_af.jpg']",TP,1.0490033853757905,0.7095017755574187,0.5809966146242096,True,True,"['f', 'f']","['a', 'a']"
24,"['__48_af.jpg', '__49_af.jpg']",TP,0.6966948597427284,0.533347530518157,0.9333051402572717,True,True,"['f', 'f']","['a', 'a']"
25,"['__50_af.jpg', '__51_af.jpg']",TP,1.007350571029471,0.688675307600645,0.6226494289705291,True,True,"['f', 'f']","['a', 'a']"
26,"['__52_af.jpg', '__53_af.jpg']",TP,0.7024913792579534,0.5362456184321912,0.9275086207420468,True,True,"['f', 'f']","['a', 'a']"
27,"['__54_af.jpg', '__55_af.jpg']",TP,0.8172761379952876,0.5936381269432704,0.8127238620047125,True,True,"['f', 'f']","['a', 'a']"
29,"['__58_af.jpg', '__59_af.jpg']",TP,0.27617111238307634,0.3230855979519005,1.3538288876169238,True,True,"['f', 'f']","['a', 'a']"
30,"['__60_af.jpg', '__61_af.jpg']",TP,1.0864653974662233,0.7282326999452053,0.5435346025337768,True,True,"['f', 'f']","['a', 'a']"
31,"['__62_af.jpg', '__63_af.jpg']",TP,0.2710072152665113,0.3205037085260188,1.3589927847334888,True,True,"['f', 'f']","['a', 'a']"
32,"['__64_af.jpg', '__65_af.jpg']",TP,0.987245033188807,0.6786224465938091,0.6427549668111932,True,True,"['f', 'f']","['a', 'a']"
34,"['__68_af.jpg', '__69_af.jpg']",TP,0.6806337186224549,0.5253168695908986,0.9493662813775452,True,True,"['f', 'f']","['a', 'a']"
35,"['__70_af.jpg', '__71_af.jpg']",TP,1.1933948227057143,0.7816974249452413,0.4366051772942857,True,True,"['f', 'f']","['a', 'a']"
36,"['__72_af.jpg', '__73_af.jpg']",TP,1.5305358221796799,0.9502678480922822,0.09946417782032024,True,True,"['f', 'f']","['a', 'a']"
37,"['__74_af.jpg', '__75_af.jpg']",TP,1.250212069391076,0.8101060327786807,0.379787930608924,True,True,"['f', 'f']","['a', 'a']"
38,"['__76_af.jpg', '__77_af.jpg']",TP,0.6311683095471197,0.5005841294824311,0.9988316904528804,True,True,"['f', 'f']","['a', 'a']"
39,"['__78_af.jpg', '__79_af.jpg']",TP,1.156266209332244,0.7631330886984046,0.4737337906677561,True,True,"['f', 'f']","['a', 'a']"
40,"['__80_af.jpg', '__81_af.jpg']",TP,0.7110549091928344,0.5405274739439819,0.9189450908071657,True,True,"['f', 'f']","['a', 'a']"
41,"['__82_af.jpg', '__83_af.jpg']",TP,0.5784246674535745,0.47421231109794704,1.0515753325464257,True,True,"['f', 'f']","['a', 'a']"
42,"['__84_af.jpg', '__85_af.jpg']",TP,1.1098478986968254,0.7399240129106135,0.5201521013031747,True,True,"['f', 'f']","['a', 'a']"
43,"['__86_af.jpg', '__87_af.jpg']",TP,0.8175721905916454,0.5937861295598397,0.8124278094083547,True,True,"['f', 'f']","['a', 'a']"
44,"['__88_af.jpg', '__89_af.jpg']",TP,1.2904078288909857,0.8302039826590686,0.33959217110901435,True,True,"['f', 'f']","['a', 'a']"
45,"['__90_af.jpg', '__91_af.jpg']",TP,0.9091901094258467,0.6395950742563083,0.7208098905741535,True,True,"['f', 'f']","['a', 'a']"
48,"['__96_af.jpg', '__97_af.jpg']",TP,0.9792578502671632,0.6746288407293358,0.650742149732837,True,True,"['f', 'f']","['a', 'a']"
49,"['__98_af.jpg', '__99_af.jpg']",TP,1.0235623359304076,0.6967812505838774,0.6064376640695925,True,True,"['f', 'f']","['a', 'a']"
50,"['__100_af.jpg', '__101_af.jpg']",TP,1.1198196121130222,0.7449097592933814,0.5101803878869781,True,True,"['f', 'f']","['a', 'a']"
51,"['__102_af.jpg', '__103_af.jpg']",TP,0.6046973805316702,0.48734874491217645,1.02530261946833,True,True,"['f', 'f']","['a', 'a']"
53,"['__106_af.jpg', '__107_af.jpg']",TP,0.8440301586184696,0.6070150751586618,0.7859698413815305,True,True,"['f', 'f']","['a', 'a']"
54,"['__108_af.jpg', '__109_af.jpg']",TP,1.1453064554004007,0.7576532268109085,0.48469354459959935,True,True,"['f', 'f']","['a', 'a']"
55,"['__110_af.jpg', '__111_af.jpg']",TP,0.4363925753541025,0.40319621049030574,1.1936074246458976,True,True,"['f', 'f']","['a', 'a']"
58,"['__116_af.jpg', '__117_af.jpg']",TP,0.67915839623383,0.5245791972027551,0.9508416037661701,True,True,"['f', 'f']","['a', 'a']"
59,"['__118_af.jpg', '__119_af.jpg']",TP,0.2976652366117847,0.3338326219405223,1.3323347633882154,True,True,"['f', 'f']","['a', 'a']"
60,"['__120_af.jpg', '__121_af.jpg']",TP,1.1836176490120462,0.7768087330878295,0.446382350987954,True,True,"['f', 'f']","['a', 'a']"
61,"['__122_af.jpg', '__123_af.jpg']",TP,0.981368031654877,0.6756839562133753,0.6486319683451232,True,True,"['f', 'f']","['a', 'a']"
62,"['__124_af.jpg', '__125_af.jpg']",TP,0.9192713644109843,0.6446356396909336,0.7107286355890158,True,True,"['f', 'f']","['a', 'a']"
63,"['__126_af.jpg', '__127_af.jpg']",TP,0.048827040917547304,0.2094135283421642,1.5811729590824528,True,True,"['f', 'f']","['a', 'a']"
64,"['__128_af.jpg', '__129_af.jpg']",TP,1.0904263708344124,0.7302131569156145,0.5395736291655877,True,True,"['f', 'f']","['a', 'a']"
